what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857576573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857582165
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857593267
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1309857593274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857604695
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857604829
error,log,,,"Invalid ZIP archive: res/drawable-hdpi/wall.png [in Roguelike]",1309857605658
error,log,,,"Invalid ZIP archive: res/drawable-hdpi/wall.png [in Roguelike]",1309857608759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857615777
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857615828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857628504
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857645477
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309857658135
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857663501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857715377
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1309857738639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857743514
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857756307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857800007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857801457
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1309857802421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857808997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857841068
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857845253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857849654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857852286
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857906226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857941870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857941986
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309857942058
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309857942119
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857955589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857955736
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309857965300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857976155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857976275
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857976364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309857979828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309857983169
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309857984531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309857986333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309857987269
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309857989946
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1309858032783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309858034668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858063366
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1309858063375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858066731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858067949
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858109048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858125954
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858192962
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858197250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858223262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858283862
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858301601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858321743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858345072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858383413
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858385003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858393680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858397544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858416394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858426009
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309858427309
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1309858430631
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1309858430664
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1309858430784
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1309858430786
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1309858430834
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1309858430847
opened,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309858430900
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309858431138
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1309858431901
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1309858431984
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309858459190
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309858466704
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1309858470066
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309858471937
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309858472830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1309858476717
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309858477589
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309858502364
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309858507936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1309858522870
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309858524105
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309858585132
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309858586791
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309858587271
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309858587656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1309858588527
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1309858594363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309858603054
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1309858606099
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1309858616040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858624945
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858744072
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309858744129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858748428
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858763107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858775329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858779755
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309858779759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858782407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309858783736
